 Date,Sales
26-03-2018,44
13-09-2018,382
09-06-2018,250
03-08-2018,45
26-07-2018,246
04-05-2018,50
24-02-2018,246
25-06-2018,44
14-02-2018,245
29-06-2018,245
10-10-2018,376
16-10-2018,45
24-11-2018,45
24-05-2018,244
01-10-2018,244
01-01-2018,10
17-02-2018,375
16-03-2018,46
26-11-2018,49
04-12-2018,47
16-10-2018,355
03-12-2018,32
21-11-2018,243
26-04-2018,241
15-04-2018,47
23-01-2018,50
05-10-2018,15
15-11-2018,148
22-03-2018,299
07-10-2018,68
29-07-2018,52
24-11-2018,239
04-01-2018,27
17-12-2018,238
16-12-2018,48
20-10-2018,66
06-07-2018,53
15-11-2018,233
21-12-2018,53
05-03-2018,54
24-12-2018,352
24-06-2018,349
30-07-2018,341
26-06-2018,54
27-03-2018,57
23-03-2018,340
14-10-2018,227
03-11-2018,330
12-02-2018,216
24-04-2018,224
06-04-2018,55
10-08-2018,49
08-02-2018,224
03-11-2018,223
19-11-2018,324
16-03-2018,56
15-11-2018,223
25-02-2018,10
20-12-2018,57
27-03-2018,322
31-01-2018,219
11-12-2018,103
14-02-2018,47
30-04-2018,219
04-06-2018,57
18-07-2018,319
05-04-2018,315
24-09-2018,314
04-06-2018,311
04-01-2018,307
04-01-2018,294
02-02-2018,216
15-04-2018,58
22-02-2018,48
01-10-2018,54
29-10-2018,216
22-03-2018,215
05-01-2018,43
05-01-2018,136
11-07-2018,59
03-08-2018,213
27-08-2018,59
22-11-2018,55
24-11-2018,294
30-12-2018,210
21-03-2018,59
23-04-2018,396
06-01-2018,284
04-03-2018,276
17-03-2018,23
20-02-2018,209
19-01-2018,50
26-12-2018,57
16-11-2018,276
06-04-2018,268
08-09-2018,269
04-02-2018,209
15-03-2018,60
17-07-2018,269
09-09-2018,208
22-02-2018,27
30-06-2018,206
24-04-2018,61
28-07-2018,212
03-05-2018,262
23-09-2018,204
01-07-2018,59
15-12-2018,199
07-09-2018,59
28-02-2018,45
10-10-2018,211
18-10-2018,65
21-03-2018,25
15-09-2018,196
04-03-2018,261
15-06-2018,195
01-07-2018,192
31-07-2018,189
15-07-2018,32
11-12-2018,188
12-07-2018,73
13-02-2018,259
02-03-2018,187
05-05-2018,26
14-05-2018,185
28-05-2018,248
22-04-2018,67
28-11-2018,248
27-04-2018,246
01-11-2018,179
27-01-2018,176
13-02-2018,176
20-02-2018,68
19-03-2018,176
01-05-2018,88
02-06-2018,68
23-08-2018,231
12-03-2018,62
25-04-2018,175
22-03-2018,71
28-05-2018,174
21-01-2018,173
27-07-2018,171
29-10-2018,268
15-09-2018,71
29-01-2018,29
21-09-2018,65
03-08-2018,72
26-03-2018,168
01-07-2018,165
22-08-2018,74
28-03-2018,89
